,title,authors,blurb,citations,citation_rate,year,link
189,Maintenance support method and apparatus for natural language processing system,['M Tominaga'],"A hypothesis of co-occurrence relation information is generated from sentences and results of processing these sentences. Sentences for verification are generated based on the hypothesis. The adequacy of the sentences generated for verification is judged, and if the ",117,4.333333333333333,1994,https://patents.google.com/patent/US5311429A/en
190,Natural language processing and systems biology,"['KB Cohen', 'L Hunter']","Natural language processing (NLP) is the processing, or treatment by computer, of natural 
language, ie, human languages, as opposed to programming languages. The two differ from 
each other in a very fundamental way: the interpretation of a programming language is designed ",114,6.705882352941177,2004,https://link.springer.com/content/pdf/10.1007/978-1-4020-5811-0_9.pdf
191,Statistical natural language processing «统计自然语言处理 »,['X Zhang'],"As an encyclopaedic resource on statistical approaches to natural language processing (NLP), the content of the second edition of Zong's (2008) Statistical Natural Language Processing (henceforth SNLP2) has some overlap with classic NLP textbooks such as ",114,16.285714285714285,2014,https://www.jstor.org/stable/44113770
192,A Large Subcategorization Lexicon for Natural Language Processing Applications.,"['A Korhonen', 'Y Krymolowski', 'T Briscoe']","We introduce a large computational subcategorization lexicon which includes subcategorization frame (SCF) and frequency information for 6,397 English verbs. This extensive lexicon was acquired automatically from five corpora and the Web using the ",113,7.533333333333333,2006,https://www.researchgate.net/profile/Ted_Briscoe/publication/228337863_A_large_subcategorization_lexicon_for_natural_language_processing_applications/links/09e4151370c8edafca000000.pdf
193,Learning schemata for natural language processing.,"['RJ Mooney', 'G DeJong']","This paper describes a natural language system which improves its own performance through learning. The system processes short English narratives and is able to acquire, from a single narrative, a new schema for a stereotypical set of actions. During the understanding ",113,3.138888888888889,1985,http://www.cs.utexas.edu/users/ml/papers/ijcai85.pdf
194,Natural language processing with Thought Treasure,['ET Mueller'],"When the Dartmouth Summer Research Project on Artificial Intelligence was held in 1956, the creation of an intelligent computer seemed to be just around the corner. Since then, the number of researchers in the field has grown to over 10,000 and the number of pages in the ",111,4.826086956521739,1998,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.35.9720&rep=rep1&type=pdf
195,Recycling translations: Extraction of lexical data from parallel corpora and their application in natural language processing,['J Tiedemann'],"Abstract Tiedemann, J. 2003. Recycling Translations. Extraction of Lexical Data from Parallel Corpora and their Application in Natural Language Processing. Acta Universitatis Upsaliensis. Studia Linguistica Upsaliensia 1. 130 pp. Uppsala. ISBN 91-554-5815-7 The ",111,6.166666666666667,2003,https://www.diva-portal.org/smash/record.jsf?pid=diva2:163715
196,Automatic transition of natural language software requirements specification into formal presentation,"['MG Ilieva', 'O Ormandjieva']"," This paper proposes a methodology for the natural language processing of tex- tual
descriptions of the requirements of an unlimited natural language and their automatic
mapping to the object-oriented analysis model. 1 Introduction  
",111,6.9375,2005,https://link.springer.com/chapter/10.1007/11428817_45
197,"Natural language processing: state of the art and prospects for significant progress, a workshop sponsored by the National Library of Medicine","['C Friedman', 'TC Rindflesch', 'M Corn']",Natural language processing (NLP) is crucial for advancing healthcare because it is needed to transform relevant information locked in text into structured data that can be used by computer processes aimed at improving patient care and advancing medicine. In light of the ,111,13.875,2013,https://www.sciencedirect.com/science/article/pii/S1532046413000798
198,Identification of findings suspicious for breast cancer based on natural language processing of mammogram reports.,"['NL Jain', 'C Friedman']","There is need for encoded data for computerized clinical decision support, but most such data are unavailable as they are in free-text reports. Natural language processing offers one alternative for encoding such data. MedLEE is a natural language processing system which ",111,4.625,1997,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2233320/
199,Learning text analysis rules for domain-specific natural language processing,['SG Soderland'],"FEBRUARY 1997 STEPHEN G. SODERLAND B. Sc., STANFORD UNIVERSITY M. Sc., UNIVERSITY OF MASSACHUSETTS AMHERST Ph. D., UNIVERSITY OF MASSACHUSETTS AMHERST Directed by: Professor Wendy G. Lehnert An enormous ",110,4.583333333333333,1997,https://tianjun.me/static/essay_resources/RelationExtraction/Paper/10.1.1.48.8283.pdf
200,Extracting information on pneumonia in infants using natural language processing of radiology reports,"['EA Mendonça', 'J Haas', 'L Shagina', 'E Larson']","Natural language processing (NLP) is critical for improvement of the healthcare process because it can encode clinical data in patient documents. Many clinical applications such as decision support require coded data to function appropriately. However, in order to be ",109,6.8125,2005,https://www.sciencedirect.com/science/article/pii/S153204640500016X
202,Systems and methods for automatic semantic role labeling of high morphological text for natural language processing applications,"['N Kambhatla', 'I Zitouni']","Abstract Systems and methods are provided for automated semantic role labeling for languages having complex morphology. In one aspect, a method for processing natural language text includes receiving as input a natural language text sentence comprising a ",109,13.625,2013,https://patents.google.com/patent/US8527262B2/en
205,Deep learning in natural language processing,"['L Deng', 'Y Liu']","In recent years, deep learning has fundamentally changed the landscapes of a number of areas in artificial intelligence, including speech, vision, natural language, robotics, and game playing. In particular, the striking success of deep learning in a wide variety of natural  ",107,35.666666666666664,2018,https://books.google.com/books?hl=en&lr=&id=y_lcDwAAQBAJ&oi=fnd&pg=PR5&dq=%22natural+language+processing%22&ots=ahyy82WNgd&sig=wYT0f7r74AFkDYfk3NH6IBw2aaA
206,CLAMP–a toolkit for efficiently building customized clinical natural language processing pipelines,"['E Soysal', 'J Wang', 'M Jiang', 'Y Wu']","Existing general clinical natural language processing (NLP) systems such as MetaMap and Clinical Text Analysis and Knowledge Extraction System have been successfully applied to information extraction from clinical text. However, end users often have to customize existing ",106,35.333333333333336,2018,https://academic.oup.com/jamia/article-abstract/25/3/331/4657212
207,PHRED: A generator for natural language interfaces,['PS Jacobs']," The Phrasal Lexicon. In R. Schank and BL Webber (eds.), Theoretical Issues in Natural Language
Processing. Cambridge, Mass.Google Scholar. Bobrow, D. and Winograd, T. 1977  A
knowledge-based approach to natural language processing: A progress report  
",106,3.212121212121212,1988,https://link.springer.com/chapter/10.1007/978-1-4612-3846-1_9
208,Learning to rank for information retrieval and natural language processing,['H Li'],"Abstract Download Free Sample Learning to rank refers to machine learning techniques for training a model in a ranking task. Learning to rank is useful for many applications in information retrieval, natural language processing, and data mining. Intensive studies have ",106,15.142857142857142,2014,https://www.morganclaypool.com/doi/abs/10.2200/S00607ED2V01Y201410HLT026
209,Using natural language processing to improve efficiency of manual chart abstraction in research: the case of breast cancer recurrence,"['DS Carrell', 'S Halgrim', 'DT Tran']",The increasing availability of electronic health records (EHRs) creates opportunities for automated extraction of information from clinical text. We hypothesized that natural language processing (NLP) could substantially reduce the burden of manual abstraction in studies ,106,15.142857142857142,2014,https://academic.oup.com/aje/article-abstract/179/6/749/109613
210,Rule-based approach in Arabic natural language processing,['K Shaalan'],The rule-based approach has successfully been used in developing many natural language processing systems. Systems that use rule-based transformations are based on a core of solid linguistic knowledge. The linguistic knowledge acquired for one natural language  ,105,9.545454545454545,2010,https://www.researchgate.net/profile/Khaled_Shaalan/publication/206005947_Rule-based_Approach_in_Arabic_Natural_Language_Processing/links/0912f50abb985ec873000000.pdf
211,Automation of a problem list using natural language processing,"['S Meystre', 'PJ Haug']","Background The medical problem list is an important part of the electronic medical record in development in our institution. To serve the functions it is designed for, the problem list has to be as accurate and timely as possible. However, the current problem list is usually ",105,6.5625,2005,https://link.springer.com/article/10.1186/1472-6947-5-30
212,Hybrid connectionist natural language processing,['S Wermter'],The objective of this book is to describe a new approach in hybrid connectionist natural language processing which bridges the gap between strictly symbolic and connectionist systems. This objective is tackled in two ways: the book gives an overview of hybrid ,105,4.038461538461538,1995,https://www.academia.edu/download/49012060/hybrid-connectionist-nlp-book-info.pdf
213,Portuguese word embeddings: Evaluating on word analogies and natural language tasks,"['N Hartmann', 'E Fonseca', 'C Shulby', 'M Treviso']"," {chrisshulby,marcosvtreviso,jsc}@gmail.com Abstract. Word embeddings have been found
to provide meaningful representations for words in an efficient way; therefore, they have
become common in Natural Language Processing sys- tems  
",105,26.25,2017,https://arxiv.org/abs/1708.06025
214,Medical language processing: applications to patient data representation and automatic encoding,"['N Sager', 'M Lyman', 'NT Nhan']"," Keywords: Natural Language Processing - Automatic Encoding - SNOMED - Clinical Data
Representation. References  Natural language processing and the representation of clinical data.
J Am Med Inform Assoc 1994; 1: 142-60. 18 Sager F, Friedman C, Lyman MS  
",104,4.0,1995,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0038-1634579
215,Recursive deep learning for natural language processing and computer vision,['R Socher'],"As the amount of unstructured text data that humanity produces overall and on the Internet grows, so does the need to intelligently process it and extract different types of knowledge from it. My research goal in this thesis is to develop learning models that can automatically ",104,14.857142857142858,2014,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.646.5649&rep=rep1&type=pdf
216,Generalized Hebbian algorithm for incremental singular value decomposition in natural language processing,['G Gorrell'],"An algorithm based on the Generalized Hebbian Algorithm is described that allows the singular value decomposition of a dataset to be learned based on single observation pairs presented serially. The algorithm has minimal memory requirements, and is therefore ",104,6.933333333333334,2006,https://www.aclweb.org/anthology/E06-1013.pdf
217,Identification of suspected tuberculosis patients based on natural language processing of chest radiograph reports.,"['NL Jain', 'CA Knirsch', 'C Friedman']",Identification of eligible patients from electronically available patient data is a key difficulty in computerizing clinical practice guidelines because a large amount of the relevant data is stored as free text. We have been using MedLEE (Medical Language Extraction and ,103,4.12,1996,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2233236/
218,NaturalJava: a natural language interface for programming in Java,"['D Price', 'E Rilofff', 'J Zachary', 'B Harvey']"," The interface exploits three subsystems. The Sundance natural language processing system
accepts English sentences as input and uses information extraction techniques to generate
case frames representing program construction and editing directives  
",103,4.904761904761905,2000,https://dl.acm.org/doi/abs/10.1145/325737.325845
219,Natural language processing of patents and technical documentation,"['G Cascini', 'A Fantechi', 'E Spinicci']","Abstract Natural Language Processing techniques for text-mining and information retrieval are finding application in the analysis of many kinds of documentation, from technical documentation to World Wide Web. Particularly, Functional Analysis techniques are based ",102,6.0,2004,https://link.springer.com/chapter/10.1007/978-3-540-28640-0_48
220,Natural language processing of lyrics,"['JPG Mahedero', 'Á MartÍnez', 'P Cano']","We report experiments on the use of standard natural language processing (NLP) tools for the analysis of music lyrics. A significant amount of music audio has lyrics. Lyrics encode an important part of the semantics of a song, therefore their analysis complements that of ",102,6.375,2005,https://dl.acm.org/doi/abs/10.1145/1101149.1101255
221,A corpus of full-text journal articles is a robust evaluation tool for revealing differences in performance of biomedical natural language processing tools,"['K Verspoor', 'KB Cohen', 'A Lanfranchi', 'C Warner']","Background We introduce the linguistic annotation of a corpus of 97 full-text biomedical publications, known as the Colorado Richly Annotated Full Text (CRAFT) corpus. We further assess the performance of existing tools for performing sentence splitting, tokenization ",101,11.222222222222221,2012,https://link.springer.com/article/10.1186/1471-2105-13-207
222,Improving case definition of Crohn's disease and ulcerative colitis in electronic medical records using natural language processing: a novel informatics approach,"['AN Ananthakrishnan', 'T Cai', 'G Savova']",Background Previous studies identifying patients with inflammatory bowel disease using administrative codes have yielded inconsistent results. Our objective was to develop a robust electronic medical record–based model for classification of inflammatory bowel ,100,12.5,2013,https://academic.oup.com/ibdjournal/article-abstract/19/7/1411/4604302
223,The social impact of natural language processing,"['D Hovy', 'SL Spruit']","Medical sciences have long since established an ethics code for experiments, to minimize the risk of harm to subjects. Natural language processing (NLP) used to involve mostly anonymous corpora, with the goal of enriching linguistic analysis, and was therefore unlikely ",100,20.0,2016,https://www.aclweb.org/anthology/P16-2096.pdf
224,The experience of developing a large-scale natural language processing system: Critique,"['S Richardson', 'L Braden']",This chapter describes our experience in developing the Critique system. It describes three application areas in which the system has been used and discusses some characteristics of Critique which we believe are applicable to large-scale natural language systems in ,99,3.5357142857142856,1993,https://link.springer.com/chapter/10.1007/978-1-4615-3170-8_7
225,System and method for natural language processing and using ontological searches,"['RC Berkan', 'V Raskin']",A search engine is disclosed that utilizes natural language processing (NLP) techniques. The search engine utilizes meaning-based natural language processing using ontological semantics in analyzing the meaning of queries and the searched text. This system analyzes ,99,9.0,2010,https://patents.google.com/patent/US7739104B2/en
226,Natural language processing method and system,['PMG De Vocht'],"A computer implemented natural language processing method, the method including the steps of: analysing a sentence string within textual information to determine sub-components of the sentence string, assigning one or more unique tokens to each determined sub ",99,9.9,2011,https://patents.google.com/patent/US20110301941A1/en
227,Natural language information retrieval: progress report,['J Perez']," Natural language processing (NLP) techniques may hold a tremendous potential for overcoming
the inadequacies of purely quantitative methods of text information retrieval, but the empirical
evidence to support such predictions has thus far been inadequate and appropriate  
",98,4.666666666666667,2000,https://www.sciencedirect.com/science/article/pii/S0306457399000497
228,Large-scale analysis of counseling conversations: An application of natural language processing to mental health,"['T Althoff', 'K Clark', 'J Leskovec']","Mental illness is one of the most pressing public health issues of our time. While counseling and psychotherapy can be effective treatments, our knowledge about how to conduct successful counseling conversations has been limited due to lack of large-scale data with ",98,19.6,2016,https://www.mitpressjournals.org/doi/abs/10.1162/tacl_a_00111
229,Automated natural language processing,"['S Kuno', 'GA Akers']",An automated natural language translation system takes source natural language text (preferably in Japanese) and translates them into a target natural language (preferably English). The system also allows an operator to re-translate automatically selected portions ,98,5.764705882352941,2004,https://patents.google.com/patent/US6760695B1/en
230,Natural language processing,['AK Joshi'],Natural language processing (NLP) is the study of mathematical and computational modeling of various aspects of language and the development of a wide range of systems. These include spoken language systems that integrate speech and natural language; ,98,3.2666666666666666,1991,https://science.sciencemag.org/content/253/5025/1242.abstract
231,Integration of speech recognition and natural language processing in the MIT VOYAGER system,"['V Zue', 'J Glass', 'D Goodine', 'H Leung']","The MIT VOYAGER speech understanding system is an urban exploration and navigation system that interacts with the user through spoken dialogue, text, and graphics. The authors describe recent attempts at improving the integration between the speech recognition and ",98,3.2666666666666666,1991,https://www.computer.org/csdl/proceedings-article/icassp/1991/0003713/12OmNyuPLki
232,An effective application of natural language processing in second language instruction,['N Nagata'],"This paper presents an intelligent CALI system called"" Nihongo-CAU""(Japanese Computer Assisted Language Instruction), which employs natural language processing to provide immediate, grammatically sophisticated feedback to students in an interactive environment ",98,3.769230769230769,1995,https://www.jstor.org/stable/24147743
233,A tutorial on dual decomposition and lagrangian relaxation for inference in natural language processing,"['AM Rush', 'MJ Collins']","Dual decomposition, and more generally Lagrangian relaxation, is a classical method for combinatorial optimization; it has recently been applied to several inference problems in natural language processing (NLP). This tutorial gives an overview of the technique. We ",97,10.777777777777779,2012,https://www.jair.org/index.php/jair/article/view/10785
234,Incremental natural language processing for HRI,"['T Brick', 'M Scheutz']",Robots that interact with humans face-to-face using natural language need to be responsive to the way humans use language in those situations. We propose a psychologically-inspired natural language processing system for robots which performs incremental semantic ,97,6.928571428571429,2007,https://dl.acm.org/doi/abs/10.1145/1228716.1228752
235,Crowdsourcing research opportunities: lessons from natural language processing,"['M Sabou', 'K Bontcheva', 'A Scharl']","Although the field has led to promising early results, the use of crowdsourcing as an integral part of science projects is still regarded with skepticism by some, largely due to a lack of awareness of the opportunities and implications of utilizing these new techniques. We ",97,10.777777777777779,2012,https://dl.acm.org/doi/abs/10.1145/2362456.2362479
236,Automated checking of conformance to requirements templates using natural language processing,"['C Arora', 'M Sabetzadeh', 'L Briand']","Templates are effective tools for increasing the precision of natural language requirements and for avoiding ambiguities that may arise from the use of unrestricted natural language. When templates are applied, it is important to verify that the requirements are indeed written ",97,16.166666666666668,2015,https://ieeexplore.ieee.org/abstract/document/7100933/
237,Policy enforcement using natural language processing,"['E Woods', 'CO Allen', 'SR Carrier']",A term of use policy document defines permissible actions that may be implemented by a user using a computing device. A natural language processing (NLP)-based question and answer (Q&A) system is trained to understand the policy document. The device includes a ,97,19.4,2016,https://patents.google.com/patent/US9369488B2/en
238,An automated tool for generating UML models from natural language requirements,"['DK Deeptimahanti', 'MA Babar']"," Generator from Analysis of Requirements (UMGAR), which generates UML models like the
Use-case Diagram, Analysis class model, Collaboration diagram and Design class model from
natural language requirements using efficient Natural Language Processing (NLP) tools  
",95,7.916666666666667,2009,https://ieeexplore.ieee.org/abstract/document/5431706/
239,Natural language processing technologies in radiology research and clinical applications,"['T Cai', 'AA Giannopoulos', 'S Yu', 'T Kelil', 'B Ripley']","The migration of imaging reports to electronic medical record systems holds great potential in terms of advancing radiology research and practice by leveraging the large volume of data continuously being updated, integrated, and shared. However, there are significant ",94,18.8,2016,https://pubs.rsna.org/doi/abs/10.1148/rg.2016150080
240,Evaluating natural language processing systems,['M King'],"M argaret K ing evaluation of machine translation in the mid-1960s. Subsequently, those involved in evaluation were understandably reluctant to discuss their techniques unless they were very sure of their ground. Finally, serious evaluation is expensive. Those who pay for ",94,3.76,1996,https://dl.acm.org/doi/abs/10.1145/234173.234208
241,System and method for natural language processing in a peer-to-peer hybrid communications network,"['S Ravikumar', 'S Gundabathula']","US20060206310A1 - System and method for natural language processing in a
peer-to-peer hybrid communications network - Google Patents. System and method for
natural language processing in a peer-to-peer hybrid communications network. Download ",94,6.266666666666667,2006,https://patents.google.com/patent/US20060206310A1/en
242,The role of lexicons in natural language processing,"['L Guthrie', 'J Pustejovsky', 'Y Wilks']","B rian M. S lator more empirical methods: These have ranged from the use of neural or connectionist networks in language understanding to a return to statistical methods for the analysis of texts, as well as attempts to increase the size of lexicons for computational ",93,3.72,1996,https://dl.acm.org/doi/pdf/10.1145/234173.234204
243,Empirical principles and an industrial case study in retrieving equivalent requirements via natural language processing techniques,"['D Falessi', 'G Cantone', 'G Canfora']","Though very important in software engineering, linking artifacts of the same type (clone detection) or different types (traceability recovery) is extremely tedious, error-prone, and effort-intensive. Past research focused on supporting analysts with techniques based on ",93,9.3,2011,https://ieeexplore.ieee.org/abstract/document/6112783/
244,Commercial applications of natural language processing,"['KW Church', 'LF Rau']","Vast quantities of text are becoming available in electronic form, ranging from published documents (eg, electronic dictionaries, encyclopedias, libraries and archives for information retrieval services), to private databases (eg, marketing information, legal records, medical ",93,3.576923076923077,1995,https://dl.acm.org/doi/abs/10.1145/219717.219778
245,Natural Language Processing in Information Retrieval.,['T Brants'],"Abstract Many Natural Language Processing (NLP) techniques have been used in Information Retrieval. The results are not encouraging. Simple methods (stopwording, porter-style stemming, etc.) usually yield significant improvements, while higher-level processing ",93,5.166666666666667,2003,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.87.7608&rep=rep1&type=pdf
246,Exemplar-based natural language processing,"['RL Futrell', 'TR Gruber']","Abstract Systems and processes for exemplar-based natural language processing are provided. In one example process, a first text phrase can be received. It can be determined whether editing the first text phrase to match a second text phrase requires one or more of ",92,18.4,2016,https://patents.google.com/patent/US9430463B2/en
247,Handbook of natural language processing and machine translation: DARPA global autonomous language exploitation,"['J Olive', 'C Christianson', 'J McCary']","This comprehensive handbook, written by leading experts in the field, details the groundbreaking research conducted under the breakthrough GALE program--The Global Autonomous Language Exploitation within the Defense Advanced Research Projects ",92,9.2,2011,https://books.google.com/books?hl=en&lr=&id=RLSq9Wz4XiIC&oi=fnd&pg=PR6&dq=%22natural+language+processing%22&ots=3nxOZn0E7J&sig=I5J5s1zth_PWnUytOQtW7JD0f0M
248,Applications of finite-state transducers in natural language processing,['L Karttunen'],This paper is a review of some of the major applications of finite-state transducers in Natural Language Processing ranging from morphological analysis to finite-state parsing. The analysis and generation of inflected word forms can be performed efficiently by means of ,92,4.380952380952381,2000,https://link.springer.com/chapter/10.1007/3-540-44674-5_2
249,Evaluation of machine learning methods for natural language processing tasks,"['W Daelemans', 'V Hoste']",We show that the methodology currently in use for comparing symbolic supervised learning methods applied to human language technology tasks is unreliable. We show that the interaction between algorithm parameter settings and feature selection within a single ,92,4.842105263157895,2002,https://biblio.ugent.be/publication/598042
250,Natural language processing for entity resolution,"['JR Psota', 'TG Garnett', 'PG Swartz']","An apparatus includes a data access circuit that interprets data records, each having a number of data fields, a record parsing circuit that determines a number of n-grams from terms of each of the data records and maps the number of n-grams to a corresponding ",92,23.0,2017,https://patents.google.com/patent/US20170091320A1/en
251,Practical natural language processing: The REL system as prototype,"['FB Thompson', 'BH Thompson']",Publisher Summary A lot has been written and much work has been done on natural language as a means of communication with computers. Some of the problems involved in the development of systems with such a capability have been effectively solved; others ,92,2.0,1975,https://www.sciencedirect.com/science/article/pii/S0065245808606579
252,Language determination: Natural language processing from scanned document images,"['P Sibun', 'AL Spitz']","Many documents are available to a computer only as images from paper. However, most natural language processing systems expect their input as character-coded text, which may be difficult or expensive to extract accurately from the page. We describe a method for ",92,3.8333333333333335,1997,https://books.google.com/books?hl=en&lr=&id=FyWjVtvYzY0C&oi=fnd&pg=PA265&dq=%22natural+language+processing%22&ots=CsOVBxkSkq&sig=-FhhX3MiFvsp10-d2s76tJiQqU8
253,Roget's thesaurus as a lexical resource for natural language processing,['M Jarmasz'],"WordNet proved that it is possible to construct a large-scale electronic lexical database on the principles of lexical semantics. It has been accepted and used extensively by computational linguists ever since it was released. Inspired by WordNet's success, we ",91,10.11111111111111,2012,https://arxiv.org/abs/1204.0140
254,Information retrieval using robust natural language processing,"['T Strzalkowski', 'B Vauthey']",We developed a prototype information retrieval system which uses advanced natural language processing techniques to enhance the effectiveness of traditional key-word based document retrieval. The backbone of our system is a statistical retrieval engine which ,90,3.103448275862069,1992,https://www.aclweb.org/anthology/P92-1014.pdf
255,Automated content analysis for construction safety: A natural language processing system to extract precursors and outcomes from unstructured injury reports,"['AJP Tixier', 'MR Hallowell', 'B Rajagopalan']","Abstract In the United States like in many other countries throughout the globe, construction workers are more likely to be injured on the job than workers in any other industry. This poor safety performance is responsible for huge human and financial losses and has motivated ",90,18.0,2016,https://www.sciencedirect.com/science/article/pii/S0926580515002265
256,"Connectionist, statistical and symbolic approaches to learning for natural language processing","['S Wermter', 'E Riloff', 'G Scheler']","This book is based on the workshop on New Approaches to Learning for Natural Language Processing, held in conjunction with the International Joint Conference on Artificial Intelligence, IJCAI'95, in Montreal, Canada in August 1995. Most of the 32 papers included ",90,3.6,1996,https://books.google.com/books?hl=en&lr=&id=QleFEFRrj6UC&oi=fnd&pg=PA1&dq=%22natural+language+processing%22&ots=naDnNkwSlr&sig=qowol4u5C2M1IOnl-NGXd2MhPuE
257,Natural language understanding in Façade: Surface-text processing,"['M Mateas', 'A Stern']"," architecture [10, 11]. In this paper we focus on Façade's natural language processing
(NLP) system, specifi- cally the understanding (NLU) portion that extracts discourse
acts from player-typed surface text. The Façade NLP  
",90,5.294117647058823,2004,https://link.springer.com/chapter/10.1007/978-3-540-27797-2_2
258,Lexical issues in natural language processing,['T Briscoe'],"In this paper, I will briefly describe the role of the lexicon in natural language processing (NLP) applications and will go on to discuss a number of issues in lexical research and in the design and construction of lexicons for practical NLP applications. I will survey relevant ",90,3.0,1991,https://link.springer.com/chapter/10.1007/978-3-642-77189-7_4
259,Natural language processing for developing queries,"['F Roulland', 'A Kaplan', 'S Castellani', 'C Roux']","A system suited to self-troubleshooting includes a processor which identifies normalized forms of at least some of the words of a natural language user query input by a user. The user query may describe a problem experienced with a machine, such as a printer. The ",90,8.181818181818182,2010,https://patents.google.com/patent/US7797303B2/en
260,NOBLE–Flexible concept recognition for large-scale biomedical natural language processing,"['E Tseytlin', 'K Mitchell', 'E Legowski', 'J Corrigan']","Background Natural language processing (NLP) applications are increasingly important in biomedical data analysis, knowledge engineering, and decision support. Concept recognition is an important component task for NLP pipelines, and can be either general ",89,17.8,2016,https://link.springer.com/article/10.1186/s12859-015-0871-y
261,PhenoGO: assigning phenotypic context to gene ontology annotations with natural language processing,"['Y Lussier', 'T Borlawsky', 'D Rappaport', 'Y Liu']","Natural language processing (NLP) is a high throughput technology because it can process vast quantities of text within a reasonable time period. It has the potential to substantially facilitate biomedical research by extracting, linking, and organizing massive amounts of ",89,5.933333333333334,2006,https://www.worldscientific.com/doi/abs/10.1142/9789812701626_0007
262,Corpus design for biomedical natural language processing,"['KB Cohen', 'L Fox', 'P Ogren', 'L Hunter']",This paper classifies six publicly available biomedical corpora according to various corpus design features and characteristics. We then present usage data for the six corpora. We show that corpora that are carefully annotated with respect to structural and linguistic ,89,5.5625,2005,https://www.aclweb.org/anthology/W05-1306.pdf
263,BANZAI: An application of natural language processing to web-based language learning,['N Nagata'],"This paper presents BANZAI, a new intelligent language tutor program developed by the author over the past two years. The BANZAI application is programmed in Java and runs in a web browser over the Internet. It is designed to develop learners' grammatical and sentence ",89,4.684210526315789,2002,https://www.jstor.org/stable/24149466
264,Natural language processing apparatus and method for performing processing to analyze the meaning of an input sentence entered in the form of a natural language,"['Y Ikeda', 'M Fujita']",A natural language processing apparatus for performing processing operations to analyze the meaning of an input sentence entered in the form of a natural language includes a plurality of meaning analyzing devices networked in order to perform processing to analyze ,88,3.52,1996,https://patents.google.com/patent/US5590039A/en
265,Coarse-to-fine natural language processing,['S Petrov'],"“Theory and Applications of Natural Language Processing” is a series of volumes dedicated 
to selected topics in NLP and Language Technology. It focuses on the most recent advances 
in all areas of the computational modeling and processing of speech and text across languages ",88,9.777777777777779,2012,https://link.springer.com/content/pdf/10.1007/978-3-642-22743-1.pdf
266,Segmentation standard for Chinese natural language processing,"['CR Huang', 'KJ Chen', 'LL Chang', 'FY Chen']","This paper proposes a segmentation standard for Chinese natural language processing. The standard is proposed to achieve linguistic felicity, computational feasibility, and data uniformity. Linguistic felicity is maintained by a definition of segmentation unit that is ",87,3.625,1997,https://www.aclweb.org/anthology/O97-4003.pdf
267,Natural language generation,"['J Bateman', 'M Zock']","Communication via a natural language requires two fundamental skills: producing 'text' (written
or spoken) and understanding it. This chapter introduces newcomers to computational approaches
to the former—natural language generation (henceforth NLG)—showing some of the  
",87,4.833333333333333,2003,https://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199573691.001.0001/oxfordhb-9780199573691-e-010
268,Knowledge and natural language processing,"['J Barnett', 'K Knight', 'I Mani', 'E Rich']","KBNL is a knowledge-based natural language processing system that is novel in several ways, including the clean separation it enforces between linguistic knowledge and world knowledge, and its use of knowledge to aid in lexical acquisition. Applications of KBNL ",86,2.774193548387097,1990,https://dl.acm.org/doi/abs/10.1145/79173.79177
269,Using natural language processing and discourse features to identify understanding errors in a spoken dialogue system,"['M Walker', 'J Wright', 'I Langkilde']","While it has recently become possible to build spoken dialogue systems that interact with users in real-time in a range of domains, systems that support conversational natural language are still subject to a large number of spoken language understanding (SLU) ",86,4.095238095238095,2000,http://www.speech.cs.cmu.edu/Courses/11716/2003/walker00using.pdf
270,Evaluating natural language processing systems,"['JR Galliers', 'KS Jones']","This report presents a detailed analysis and review of NLP evaluation, in principle and in practice. Part 1 examines evaluation concepts and establishes a framework for NLP system evaluation. This makes use of experience in the related area of information retrieval and the ",84,3.0,1993,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.34.9170
271,The theoretical status of ontologies in natural language processing,['JA Bateman'],This paper discusses the use ofontologies' in Natural Language Processing. It classifies various kinds of ontologies that have been employed in NLP and discusses various benefits and problems with those designs. Particular focus is then placed on experiences gained in ,84,3.5,1997,https://arxiv.org/abs/cmp-lg/9704010
272,Proposal for a natural language processing syntactic backbone,['P Boullier'],"The purpose of this paper is to present a grammatical formalism that extends context-free grammars and aims at being a convincing challenger as a syntactic base for various tasks, especially in natural language processing. These grammars are powerful, they strictly ",84,3.652173913043478,1998,https://hal.inria.fr/inria-00073347/
273,Web 2.0-based crowdsourcing for high-quality gold standard development in clinical natural language processing,"['H Zhai', 'T Lingren', 'L Deleger', 'Q Li', 'M Kaiser']","Background: A high-quality gold standard is vital for supervised, machine learning-based, clinical natural language processing (NLP) systems. In clinical NLP projects, expert annotators traditionally create the gold standard. However, traditional annotation is ",83,10.375,2013,https://www.jmir.org/article/view/2426/1
274,Challenges in clinical natural language processing for automated disorder normalization,"['R Leaman', 'R Khare', 'Z Lu']",Background Identifying key variables such as disorders within the clinical narratives in electronic health records has wide-ranging applications within clinical practice and biomedical research. Previous research has demonstrated reduced performance of disorder ,83,13.833333333333334,2015,https://www.sciencedirect.com/science/article/pii/S1532046415001501
